time (milliseconds since 1970-01-01),longwave (W/m^2)
1.50506994E12,4.0747501770965755E-5
1.50507E12,4.033570075989701E-5
1.50507006E12,4.009549957117997E-5
1.50507012E12,3.971270052716136E-5
1.50507018E12,3.9238700992427766E-5
1.50507024E12,3.87463005608879E-5
1.5050703E12,3.839339842670597E-5
1.50507036E12,3.811479837168008E-5
1.50507042E12,3.7777499528601766E-5
1.50507048E12,3.733329867827706E-5
1.50507054E12,3.7046200304757804E-5
1.5050706E12,3.6686200473923236E-5
1.50507066E12,3.6353299947222695E-5
1.50507072E12,3.605219899327494E-5
1.50507078E12,3.566619852790609E-5
1.50507084E12,3.5084598493995145E-5
1.5050709E12,3.480140003375709E-5
1.50507096E12,3.4515600418671966E-5
1.50507102E12,3.4079701435985044E-5
1.50507108E12,3.362220013514161E-5
1.50507114E12,3.325819852761924E-5
1.5050712E12,3.311509863124229E-5
1.50507126E12,3.2810999982757494E-5
1.50507132E12,3.2394498703069985E-5
1.50507138E12,3.2013500458560884E-5
1.50507144E12,3.1703100830782205E-5
1.5050715E12,3.153990110149607E-5
1.50507156E12,3.1130999559536576E-5
1.50507162E12,3.060169910895638E-5
1.50507168E12,3.0228999094106257E-5
1.50507174E12,2.995690010720864E-5
1.5050718E12,2.969130036944989E-5
1.50507186E12,2.9373299184953794E-5
1.50507192E12,2.9080900276312605E-5
1.50507198E12,2.8746999305440113E-5
1.50507204E12,2.8471200494095683E-5
1.5050721E12,2.8259599275770597E-5
1.50507216E12,2.797190063574817E-5
1.50507222E12,2.7681100618792698E-5
1.50507228E12,2.740889976848848E-5
1.50507234E12,2.7104599212179892E-5
1.5050724E12,2.6840800273930654E-5
1.50507246E12,2.6568499379209243E-5
1.50507252E12,2.6309700842830352E-5
1.50507258E12,2.6035400878754444E-5
1.50507264E12,2.5814100808929652E-5
1.5050727E12,2.5571600417606533E-5
1.50507276E12,2.5328399715363048E-5
1.50507282E12,2.5124300009338185E-5
1.50507288E12,2.4883000151021406E-5
1.50507294E12,2.465760007908102E-5
1.505073E12,2.4409400793956593E-5
1.50507306E12,2.4136199499480426E-5
1.50507312E12,2.395490082562901E-5
1.50507318E12,2.3859800421632826E-5
1.50507324E12,2.3640999643248506E-5
1.5050733E12,2.3454900656361133E-5
1.50507336E12,2.3256199710885994E-5
1.50507342E12,2.2964899471844546E-5
1.50507348E12,2.277970088471193E-5
1.50507354E12,2.2638600057689473E-5
1.5050736E12,2.2464599169325083E-5
1.50507366E12,2.226009928563144E-5
1.50507372E12,2.2065800294512883E-5
1.50507378E12,2.193629916291684E-5
1.50507384E12,2.1796999135403894E-5
1.5050739E12,2.1643600121024065E-5
1.50507396E12,2.1412399291875772E-5
1.50507402E12,2.1220199414528906E-5
1.50507408E12,2.1103800463606603E-5
1.50507414E12,2.0993400539737195E-5
1.5050742E12,2.0876499547739513E-5
1.50507426E12,2.0779199985554442E-5
1.50507432E12,2.0614899767679162E-5
1.50507438E12,2.0450999727472663E-5
1.50507444E12,2.0300700271036476E-5
1.5050745E12,2.01184993784409E-5
1.50507456E12,1.995089951378759E-5
1.50507462E12,1.9765000615734607E-5
1.50507468E12,1.961029920494184E-5
1.50507474E12,1.9600300220190547E-5
1.5050748E12,1.9561999579309486E-5
1.50507486E12,1.940500078490004E-5
1.50507492E12,1.9254799553891644E-5
1.50507498E12,1.9100600184174255E-5
1.50507504E12,1.8990800526808016E-5
1.5050751E12,1.888350016088225E-5
1.50507516E12,1.87660007213708E-5
1.50507522E12,1.8822400306817144E-5
1.50507528E12,1.8777500372380018E-5
1.50507534E12,1.8645099771674722E-5
1.5050754E12,1.85271001100773E-5
1.50507546E12,1.836159935919568E-5
1.50507552E12,1.8194599761045538E-5
1.50507558E12,1.8081400412484072E-5
1.50507564E12,1.7925800420925952E-5
1.5050757E12,1.776509998308029E-5
1.50507576E12,1.7674999980954453E-5
1.50507582E12,1.763420004863292E-5
1.50507588E12,1.7508500604890287E-5
1.50507594E12,1.7303800632362254E-5
1.505076E12,1.7135200323536992E-5
1.50507606E12,1.703670022834558E-5
1.50507612E12,1.6920299458433874E-5
1.50507618E12,1.678889930190053E-5
1.50507624E12,1.666269963607192E-5
1.5050763E12,1.654699917708058E-5
1.50507636E12,1.645640077185817E-5
1.50507642E12,1.6389800293836743E-5
1.50507648E12,1.626959965506103E-5
1.50507654E12,1.608340062375646E-5
1.5050766E12,1.5921299564070068E-5
1.50507666E12,1.5813899153727107E-5
1.50507672E12,1.5680299839004874E-5
1.50507678E12,1.5545399946859106E-5
1.50507684E12,1.545710074424278E-5
1.5050769E12,1.5314999473048374E-5
1.50507696E12,1.520529986009933E-5
1.50507702E12,1.5109199921425898E-5
1.50507708E12,1.4985499547037762E-5
1.50507714E12,1.486590008425992E-5
1.5050772E12,1.4800200005993247E-5
1.50507726E12,1.4759500118088908E-5
1.50507732E12,1.4681700122309849E-5
1.50507738E12,1.4510999790218193E-5
1.50507744E12,1.4339500012283679E-5
1.5050775E12,1.4239600204746239E-5
1.50507756E12,1.412799974787049E-5
1.50507762E12,1.4071199984755367E-5
1.50507768E12,1.4025699783815071E-5
1.50507774E12,1.39026997203473E-5
1.5050778E12,1.3760000001639128E-5
1.50507786E12,1.3627700354845729E-5
1.50507792E12,1.3513899830286391E-5
1.50507798E12,1.3404100172920153E-5
1.50507804E12,1.3304400454217102E-5
1.5050781E12,1.3204599781602155E-5
1.50507816E12,1.3115000001562294E-5
1.50507822E12,1.30654998429236E-5
1.50507828E12,1.300510029977886E-5
1.50507834E12,1.2891799997305498E-5
1.5050784E12,1.2797499948646873E-5
1.50507846E12,1.2690100447798613E-5
1.50507852E12,1.2579799658851698E-5
1.50507858E12,1.2473499737097882E-5
1.50507864E12,1.2416299796313979E-5
1.5050787E12,1.2357900232018437E-5
1.50507876E12,1.2271199921087828E-5
1.50507882E12,1.214500025525922E-5
1.50507888E12,1.2040600267937407E-5
1.50507894E12,1.195900040329434E-5
1.505079E12,1.185590008390136E-5
1.50507906E12,1.1730099686246831E-5
1.50507912E12,1.1633500434982125E-5
1.50507918E12,1.1575300050026271E-5
1.50507924E12,1.1490100405353587E-5
1.5050793E12,1.1389700375730172E-5
1.50507936E12,1.1297600394755136E-5
